hand, upcard, stay win, hit doesn't bust, occurances
hard11, 11, -57.21%, 100.00%, 429
21, 3, 89.45%, NaN%, 275
hard15, 8, -40.17%, 48.54%, 752
hard10, 5, -20.00%, 100.00%, 328
soft20, 2, 82.02%, 100.00%, 143
hard20, 6, 69.97%, 10.00%, 966
hard11, 6, -10.46%, 100.00%, 424
hard11, 9, -46.15%, 100.00%, 433
hard14, 8, -51.00%, 48.28%, 768
hard12, 5, -16.55%, 65.23%, 777
soft13, 3, -19.05%, 100.00%, 90
soft19, 2, 49.35%, 100.00%, 116
hard17, 2, -22.42%, 29.15%, 702
hard17, 8, -28.67%, 34.62%, 670
soft18, 11, -44.44%, 100.00%, 98
soft16, 5, 19.40%, 100.00%, 109
hard18, 6, 19.15%, 23.72%, 638
hard4, 4, -20.00%, 100.00%, 41
soft20, 4, 66.20%, 100.00%, 123
hard19, 7, 57.83%, 15.56%, 614
hard11, 4, -21.97%, 100.00%, 387
hard7, 4, -19.10%, 100.00%, 175
hard7, 11, -65.38%, 100.00%, 205
hard15, 6, -13.43%, 45.52%, 748
soft19, 8, 73.13%, 100.00%, 103
hard4, 5, -39.13%, 100.00%, 41
hard18, 10, -19.81%, 22.78%, 2507
hard14, 5, -16.31%, 55.56%, 729
soft18, 6, 20.99%, 100.00%, 135
hard15, 7, -50.57%, 48.26%, 725
hard17, 3, -12.77%, 29.69%, 726
hard9, 4, -18.25%, 100.00%, 261
hard19, 4, 48.36%, 16.93%, 615
hard19, 11, -9.55%, 11.73%, 598
soft17, 4, 13.56%, 100.00%, 109
hard6, 3, -23.08%, 100.00%, 126
soft13, 5, -9.80%, 100.00%, 92
hard7, 3, -33.33%, 100.00%, 159
hard16, 5, -16.30%, 40.00%, 714
hard11, 2, -33.33%, 100.00%, 387
hard9, 10, -48.77%, 100.00%, 1216
hard10, 2, -21.43%, 100.00%, 323
hard19, 9, 24.32%, 14.89%, 511
hard7, 5, -2.33%, 100.00%, 171
hard5, 6, 12.00%, 100.00%, 97
21, 10, 88.15%, NaN%, 1190
hard14, 6, -7.63%, 47.29%, 749
hard13, 6, -8.14%, 66.16%, 810
soft13, 4, 21.74%, 100.00%, 94
soft17, 3, -1.72%, 100.00%, 127
soft15, 7, -22.81%, 100.00%, 98
hard15, 5, -11.85%, 43.80%, 680
hard8, 7, -49.04%, 100.00%, 261
hard4, 8, -80.00%, 100.00%, 37
hard14, 9, -48.77%, 54.61%, 759
soft17, 2, -26.67%, 100.00%, 121
hard12, 4, -18.87%, 69.81%, 785
soft15, 6, -5.45%, 100.00%, 100
soft20, 10, 48.77%, 100.00%, 528
hard10, 4, -15.28%, 100.00%, 322
hard16, 4, -14.85%, 40.56%, 744
hard6, 6, 11.11%, 100.00%, 125
hard5, 3, -31.03%, 100.00%, 66
hard20, 7, 76.43%, 7.20%, 941
hard15, 9, -57.36%, 50.68%, 751
